########################################
CLUSTER DETAILS (Center 6.736,-0.216)
YPL256C (20.5 hr) : -2.12
YLR372W (20.5 hr) : -2.12
YKL078W (20.5 hr) : -1.89
YLR179C (20.5 hr) : -1.79
YJL122W (20.5 hr) : -2.25
YNL182C (20.5 hr) : -1.94
YNL175C (20.5 hr) : -2.64
YKL081W (18.5 hr) : -2.18
YGR285C (20.5 hr) : -1.94
YOL039W (20.5 hr) : -2.32
YDR321W (18.5 hr) : -1.84
YOR133W (20.5 hr) : -1.79
YHR208W (20.5 hr) : -2.12
YNL111C (20.5 hr) : -2.12
YLR449W (18.5 hr) : -2.64
YDR446W (20.5 hr) : -1.94
YMR300C (20.5 hr) : -2.0
YNL132W (18.5 hr) : -1.94
YBL072C (20.5 hr) : -2.0
YJR041C (20.5 hr) : -2.0
YHR216W (18.5 hr) : -1.84
YPL226W (20.5 hr) : -2.47
YBL076C (18.5 hr) : -1.79
YMR037C (18.5 hr) : -1.89
YLR409C (18.5 hr) : -2.0
YDL063C (20.5 hr) : -2.06
YNR038W (20.5 hr) : -1.84
YCL054W (20.5 hr) : -2.06
YLR009W (20.5 hr) : -2.18
YPL220W (20.5 hr) : -2.74
YPL163C (18.5 hr) : -1.84
YLR344W (20.5 hr) : -2.4
YOL124C (20.5 hr) : -1.94
YPL093W (18.5 hr) : -1.84
YGR085C (20.5 hr) : -2.18
YOR312C (20.5 hr) : -2.56
YNL013C (18.5 hr) : -2.06
YJL190C (20.5 hr) : -2.32
YBR084C-A (20.5 hr) : -1.84
YPL131W (20.5 hr) : -2.56
YOR146W (20.5 hr) : -1.84
YMR290C (18.5 hr) : -2.64
YAR071W (20.5 hr) : -1.84
YDR144C (20.5 hr) : -2.74
YDL082W (20.5 hr) : -2.06
YGR280C (20.5 hr) : -1.84
YNL256W (18.5 hr) : -1.84
YLR325C (20.5 hr) : -2.56
YDL037C (20.5 hr) : -1.89
YHR089C (18.5 hr) : -2.18
YNL162W (20.5 hr) : -2.0
YDR471W (20.5 hr) : -2.0
YLR340W (20.5 hr) : -2.74
YPR043W (20.5 hr) : -1.79
YDL083C (20.5 hr) : -2.4
YDR449C (18.5 hr) : -1.84
YLR413W (18.5 hr) : -2.4
YLR129W (18.5 hr) : -2.84
YMR318C (20.5 hr) : -2.12
YLL008W (18.5 hr) : -1.84
YGL029W (18.5 hr) : -1.84
YNL141W (20.5 hr) : -3.18
YHR064C (20.5 hr) : -1.79
YNL327W (18.5 hr) : -2.0
YEL026W (18.5 hr) : -1.89
YER110C (18.5 hr) : -1.94
YDL182W (20.5 hr) : -2.0
YHR141C (20.5 hr) : -2.06
YPL198W (20.5 hr) : -2.18
YJR041C (18.5 hr) : -2.0
YLR129W (20.5 hr) : -2.12
YDL148C (20.5 hr) : -2.25
YHR216W (20.5 hr) : -2.25
YBR189W (18.5 hr) : -2.0
YLR367W (20.5 hr) : -2.18
YJL148W (20.5 hr) : -2.4
YGR148C (20.5 hr) : -2.64
YGL078C (20.5 hr) : -2.47
YBR189W (20.5 hr) : -2.64
YHR203C (20.5 hr) : -2.12
YDR060W (18.5 hr) : -2.25
YHR010W (20.5 hr) : -1.94
YOR309C (18.5 hr) : -2.12
YNL132W (20.5 hr) : -2.25
YLR180W (18.5 hr) : -2.56
YIL133C (20.5 hr) : -2.25
YGR148C (18.5 hr) : -1.84
YJR071W (18.5 hr) : -1.84
YGL189C (20.5 hr) : -1.84
YGR160W (20.5 hr) : -3.18
YJR063W (20.5 hr) : -2.06
YNL069C (20.5 hr) : -2.74
YDL152W (20.5 hr) : -1.84
YER056C (20.5 hr) : -1.84
YDR321W (20.5 hr) : -2.06
YIL053W (20.5 hr) : -2.94
YLR340W (18.5 hr) : -1.79
YDL167C (20.5 hr) : -1.89
YML123C (18.5 hr) : -2.32
YKL181W (18.5 hr) : -1.89
YLR175W (20.5 hr) : -2.32
YPL160W (18.5 hr) : -1.84
YMR121C (20.5 hr) : -2.47
YNL114C (20.5 hr) : -1.94
YDR418W (20.5 hr) : -2.94
YER036C (20.5 hr) : -2.18
YGR145W (20.5 hr) : -2.18
YGR155W (20.5 hr) : -2.18
YAL025C (20.5 hr) : -2.25
YOR310C (20.5 hr) : -3.06
YAL059W (20.5 hr) : -1.79
YPL210C (20.5 hr) : -1.84
YKR057W (20.5 hr) : -2.18
YCL050C (20.5 hr) : -1.94
YJL194W (20.5 hr) : -1.89
YDR449C (20.5 hr) : -2.25
YPR102C (20.5 hr) : -2.18
YKL009W (20.5 hr) : -2.56
