orf1	gene1	type	orf2	gene2	descr	ref	evi
	CDEII	genetic	YGL238w	CSE1	interacts genetically with mutations in CDEII		902.01.01.02.02
	ECI2	physical	YLR284c	ECI1	two hybrid	10688190	902.01.01.02.01.07,902.01.09.02
	ELM11	genetic	YBR160w	CDC28	synthetic lethal	7498768	902.01.01.02.02.02.01
	ELM2	genetic	YBR160w	CDC28	synthetic lethal	7498768	902.01.01.02.02.02.01
	ELM3	genetic	YBR160w	CDC28	synthetic lethal	7498768	902.01.01.02.02.02.01
	ELM6	genetic	YBR160w	CDC28	synthetic lethal	7498768	902.01.01.02.02.02.01
	ENS2	physical	YJR045c	SSC1	heterodimer		902.01.01.02.01
	F(1) ALPHA-SUBUNIT	physical	YJL180c	ATP12	subunit|affinity chromatography	20211391	902.01.01.02.01.02
	GAL82	genetic	YDR028c	REG1	multicopy suppressor of gal82	8013904	902.01.01.02.02.01.02.01
	GCN7	genetic	YDR028c	REG1	the gcn7-1 mutation suppresses the slow growth and morphological defects of reg1 cells		902.01.01.02.02.01
	GCN7	genetic	YDR028c	REG1	deletion of reg1 suppresses the glycogen-deficient phenotype of gcn7-1		902.01.01.02.02.01.01.01
	HDA3	physical	YNL021w	HDA1	coimmunoprecipitation	8663039	902.01.01.02.01.01
	HREG1	genetic	YHR165c	PRP8	suppression		902.01.01.02.02.01
	HREG1	genetic	YHR165c	PRP8	reg1 is suppressor of rna1, prp2, prp3, prp4, prp5, prp6, and prp8 RNA processing defects	8005438	902.01.01.02.02.01
	LST1	genetic	YLR208w	SEC13	synthetic lethal	9409822	902.01.01.02.02.02.01
	LST2	genetic	YLR208w	SEC13	synthetic lethal	9409822	902.01.01.02.02.02.01
	LST6	genetic	YLR208w	SEC13	synthetic lethal	9409822	902.01.01.02.02.02.01
	MEL1	physical	YJL092w	HPR5	two hybrid	10688190	902.01.01.02.01.07,902.01.09.02
	MRNa	physical	YCR077c	PAT1	coimmunoprecipitation	10761922	902.01.01.02.01.01
	MRNa	physical	YDR378c	LSM6	coimmunoprecipitation	10761922	902.01.01.02.01.01
	MRNa	physical	YER112w	LSM4	coimmunoprecipitation	10761922	902.01.01.02.01.01
	MRNa	physical	YER146w	LSM5	coimmunoprecipitation	10761922	902.01.01.02.01.01
	MRNa	physical	YGL173c	KEM1	coimmunoprecipitation	10747033	902.01.01.02.01.01
	MRNa	physical	YJL124c	LSM1	coimmunoprecipitation	10761922	902.01.01.02.01.01
	MRNa	physical	YLR438c-a	LSM3	coimmunoprecipitation	10761922	902.01.01.02.01.01
	MRNa	physical	YNL147w	LSM7	coimmunoprecipitation	10761922	902.01.01.02.01.01
	MRNa	physical	YOL149w	DCP1	coimmunoprecipitation	10761922	902.01.01.02.01.01
	MUD81	physical	YDL043c	PRP11	two hybrid	9207794	902.01.01.02.01.07,902.01.09.01
	NHP6b	genetic	YJL095w	BCK1	overproduction of NHP6B suppresses bck1 mutation in a spa2-delta background which is otherwise lethal		902.01.01.02.02.02.01
	NHP6b	genetic	YJL095w	BCK1	overproduction suppresses bck1(slk1) mutations in a spa2-delta background which is otherwise lethal		902.01.01.02.02.02.01
	NHP6b	genetic	YJL095w	BCK1	suppression		902.01.01.02.02.01
	NHP6b	genetic	YJL095w	BCK1	suppression overexpression		902.01.01.02.02.01.02.01
	NME1	physical	YBR167c	POP7	coimmunoprecipitation	9618478	902.01.01.02.01.01
	NME1	genetic	YBR257w	POP4	suppresses the ts rRNA processing mutation rrp2-2 phenotype	9085845	902.01.01.02.02.01
	NME1	genetic	YBR257w	POP4	suppression	9085845	902.01.01.02.02.01
	NME1	physical	YDR478w	SNM1		 9182752	902.01.01.02.01
	PTB2	physical	YLR113w	HOG1	pulldown coimmunoprecipitation; affinity column	9211927,9032256	902.01.01.02.01.01
	PTB3	physical	YLR113w	HOG1	affinity column	9211927	902.01.01.02.01.02
	RNASEMRP	physical	YBR257w	POP4	coimmunoprecipitation	9085845	902.01.01.02.01.01
	RNASE_P	physical	YBR167c	POP7	coimmunoprecipitation	9618478	902.01.01.02.01.01
YIL133c	RPL16a	physical	YDR395w	SXM1	coimmunoprecipitation	9412461	902.01.01.02.01.01
YNL069c	RPL16b	physical	YDR395w	SXM1	coimmunoprecipitation	9412461	902.01.01.02.01.01
YBR084c-a	RPL19a	genetic	YBL027w	RPL19b	rpl19a and rpl19b double null mutants are lethal		902.01.01.02.02.02.01
YBR084c-a	RPL19a	genetic	YBL027w	RPL19b	synthetic lethal		902.01.01.02.02.02.01
YBL027w	RPL19b	genetic	YBR084c-a	RPL19a	rpl19a and rpl19b double null mutants are lethal		902.01.01.02.02.02.01
YBL027w	RPL19b	genetic	YBR084c-a	RPL19a	synthetic lethal		902.01.01.02.02.02.01
YPL220w	RPL1a	genetic	YGL135w	RPL1b	ssm1a ssm1b double null mutation is lethal	7651424	902.01.01.02.02.02.01
YMR242c	RPL20a	physical	YLR366w	YLR366w	two hybrid	10655498	902.01.01.02.01.07,902.01.09.02
YER056c-a	RPL34a	physical	YDR395w	SXM1	coimmunoprecipitation	9412461	902.01.01.02.01.01
YIL052c	RPL34b	physical	YDR395w	SXM1	coimmunoprecipitation	9412461	902.01.01.02.01.01
YLR185w	RPL37a	physical	YHR184w	SSP1	two hybrid	10655498	902.01.01.02.01.07,902.01.09.02
YDL081c	RPP1a	physical	YLR340w	RPP0	two hybrid	10688190	902.01.01.02.01.07,902.01.09.02
YDL130w	RPP1b	physical	YDR382w	RPP2b	two hybrid	10655498	902.01.01.02.01.07,902.01.09.02
YDR382w	RPP2b	physical	YDL130w	RPP1b	two hybrid	10655498	902.01.01.02.01.07,902.01.09.02
YDR382w	RPP2b	physical	YBR006w	UGA2	two hybrid	10688190	902.01.01.02.01.07,902.01.09.02
YDR382w	RPP2b	physical	YBR006w	UGA5	two hybrid	10688190	902.01.01.02.01.07,902.01.09.02
YDR382w	RPP2b	physical	YFL039c	ACT1	two hybrid, may be false positive		902.01.01.02.01.07,902.01.09.01
	RPR1	physical	YBL018c	POP8	coimmunoprecipitation	9620854	902.01.01.02.01.01
	RPR1	physical	YBL018c	POP8	coimmunoprecipitates with pre-RNaseP, RNase P and RNase MRP RNAs	9620854	902.01.01.02.01.01
	RPR1	physical	YBR257w	POP4	coimmunoprecipitation	9085845	902.01.01.02.01.01
	RPR1	physical	YBR257w	POP4	coimmunoprecipitates with pre-RNaseP, RNase P and RNase MRP RNAs	9620854	902.01.01.02.01.01
YDR025w	RPS11a	genetic	YBR048w	RPS11b	rps18a rps18b double null mutation is synthetic lethal		902.01.01.02.02.02.01
YBR048w	RPS11b	genetic	YDR025w	RPS11a	rps18a rps18b double null mutation is synthetic lethal		902.01.01.02.02.02.01
YBR048w	RPS11b	genetic	YDR025w	RPS11a	synthetic lethal		902.01.01.02.02.02.01
YBR048w	RPS11b	genetic	YDR450w	RPS18a	synthetic lethal		902.01.01.02.02.02.01
YCR031c	RPS14a	genetic	YJL191w	RPS14b	cry1 cry2 null mutant is lethal		902.01.01.02.02.02.01
YJL191w	RPS14b	genetic	YCR031c	RPS14a	cry1 cry2 null mutant is lethal		902.01.01.02.02.02.01
YDR450w	RPS18a	genetic	YBR048w	RPS11b	synthetic lethal		902.01.01.02.02.02.01
YDR450w	RPS18a	physical	YOL149w	DCP1	two hybrid	10655498	902.01.01.02.01.07,902.01.09.02
YGL189c	RPS26a	physical	YLL027w	ISA1	two hybrid	10688190	902.01.01.02.01.07,902.01.09.02
YGL189c	RPS26a	physical	YLR435w	YLR435w	two hybrid	10688190	902.01.01.02.01.07,902.01.09.02
	RPS26b	physical	YLL027w	ISA1	two hybrid	10688190	902.01.01.02.01.07,902.01.09.02
	RPS26b	physical	YLR435w	YLR435w	two hybrid	10688190	902.01.01.02.01.07,902.01.09.02
YKL156w	RPS27a	genetic	YCL031c	RRP7	RPS27A is a multicopysuppressor of the lethality of an RRP7 deletion mutation and partially restores the ribosomal subunit ratio in Rrp7p-depleted cells	9271380	902.01.01.02.02.01
YKL156w	RPS27a	genetic	YCL031c	RRP7	suppression	9271380	902.01.01.02.02.01
YKL156w	RPS27a	genetic	YCL031c	RRP7	suppression overexpression	9271380	902.01.01.02.02.01.02.01
YHR021c	RPS27b	genetic	YCL031c	RRP7	RPS27B is a multicopysuppressor of the lethality of an RRP7 deletion mutation and partially restores the ribosomal subunit ratio in Rrp7p-depleted cells	9271380	902.01.01.02.02.01
YHR021c	RPS27b	genetic	YCL031c	RRP7	suppression	9271380	902.01.01.02.02.01
YHR021c	RPS27b	genetic	YCL031c	RRP7	suppression overexpression	9271380	902.01.01.02.02.01.02.01
YOR167c	RPS28a	physical	YBL026w	LSM2	two hybrid	10688190	902.01.01.02.01.07,902.01.09.02
YOR167c	RPS28a	physical	YER112w	LSM4	two hybrid	10688190	902.01.01.02.01.07,902.01.09.02
YOR167c	RPS28a	physical	YJR022w	LSM8	two hybrid	10688190	902.01.01.02.01.07,902.01.09.02
YOR167c	RPS28a	physical	YOL149w	DCP1	two hybrid	10655498	902.01.01.02.01.07,902.01.09.02
YLR264w	RPS28b	physical	YBL026w	LSM2	two hybrid	10688190	902.01.01.02.01.07,902.01.09.02
YLR264w	RPS28b	physical	YBR094w	YBR094w	two hybrid	10688190	902.01.01.02.01.07,902.01.09.02
YLR264w	RPS28b	physical	YDR315c	IPK1	two hybrid	10688190	902.01.01.02.01.07,902.01.09.02
YLR264w	RPS28b	physical	YER112w	LSM4	two hybrid	10688190	902.01.01.02.01.07,902.01.09.02
YLR264w	RPS28b	physical	YJR022w	LSM8	two hybrid	10688190	902.01.01.02.01.07,902.01.09.02
YLR264w	RPS28b	physical	YOL149w	DCP1	two hybrid	10688190	902.01.01.02.01.07,902.01.09.02
YER102w	RPS8b	physical	YBR135w	CKS1	two hybrid	10688190	902.01.01.02.01.07,902.01.09.02
YER102w	RPS8b	physical	YFL017c	GNA1	two hybrid	10688190	902.01.01.02.01.07,902.01.09.02
	SDL2	physical	YJL090c	DPB11	coimmunoprecipitation	9742127	902.01.01.02.01.01
	SDL2	physical	YJL090c	DPB11	two hybrid	9742127	902.01.01.02.01.07,902.01.09.01
	SNR10	physical	YDL208w	NHP2	coimmunoprecipitation	9843512	902.01.01.02.01.01
	SNR10	genetic	YGL171w	ROK1	synthetic lethal	9154839	902.01.01.02.02.02.01
	SNR10	physical	YHL034c	SBP1		 9182752	902.01.01.02.01
	SNR10	physical	YHR072w-a	NOP10	coimmunoprecipitation	9843512	902.01.01.02.01.01
	SNR10	physical	YHR089c	GAR1	in vitro binding assay	9556561	902.01.01.02.01.06
	SNR10	physical	YLR430w	SEN1	coimmunoprecipitation	9365256	902.01.01.02.01.01
	SNR10	genetic	YMR229c	RRP5	synthetic lethal with snoRNA snR10		902.01.01.02.02.02.01
	SNR11	physical	YDL208w	NHP2	coimmunoprecipitation	9843512	902.01.01.02.01.01
	SNR11	physical	YHL034c	SBP1		 9182752	902.01.01.02.01
	SNR11	physical	YHR072w-a	NOP10	coimmunoprecipitation	9843512	902.01.01.02.01.01
	SNR11	physical	YHR089c	GAR1		 9182752	902.01.01.02.01
	SNR128	physical	YDL014w	NOP1		 9182752	902.01.01.02.01
	SNR13	physical	YDL014w	NOP1		 9182752	902.01.01.02.01
	SNR13	physical	YOR310c	NOP58	coimmunoprecipitation	9632712	902.01.01.02.01.01
	SNR161	physical	YDL208w	NHP2	coimmunoprecipitation	9843512	902.01.01.02.01.01
	SNR161	physical	YHR072w-a	NOP10	coimmunoprecipitation	9843512	902.01.01.02.01.01
	SNR17(U3)	physical	YER127w	LCP5	immunoprecipitation with antiserum against Lcp5p	9814757	902.01.01.02.01.01
	SNR17a	physical	YDL014w	NOP1		 9182752	902.01.01.02.01
	SNR17a	physical	YLR430w	SEN1	coimmunoprecipitation	9365256	902.01.01.02.01.01
	SNR17a	physical	YOR310c	NOP58	coimmunoprecipitation	9632712	902.01.01.02.01.01
	SNR189	physical	YDL208w	NHP2	coimmunoprecipitation	9843512	902.01.01.02.01.01
	SNR189	physical	YHR072w-a	NOP10	coimmunoprecipitation	9843512	902.01.01.02.01.01
	SNR189	physical	YHR089c	GAR1		 9182752	902.01.01.02.01
	SNR190	physical	YDL014w	NOP1		 9182752	902.01.01.02.01
	SNR3	physical	YDL208w	NHP2	coimmunoprecipitation	9843512	902.01.01.02.01.01
	SNR3	physical	YHR072w-a	NOP10	coimmunoprecipitation	9843512	902.01.01.02.01.01
	SNR3	physical	YHR089c	GAR1		 9182752	902.01.01.02.01
	SNR30	physical	YDL208w	NHP2	coimmunoprecipitation	9843512	902.01.01.02.01.01
	SNR30	physical	YHR072w-a	NOP10	coimmunoprecipitation	9843512	902.01.01.02.01.01
	SNR30	physical	YHR089c	GAR1	in vitro binding assay	9556561	902.01.01.02.01.06
	SNR30	physical	YLR430w	SEN1	coimmunoprecipitation	9365256	902.01.01.02.01.01
	SNR31	physical	YDL208w	NHP2	coimmunoprecipitation	9843512	902.01.01.02.01.01
	SNR31	physical	YHR072w-a	NOP10	coimmunoprecipitation	9843512	902.01.01.02.01.01
	SNR31	physical	YHR089c	GAR1		 9182752	902.01.01.02.01
	SNR32	physical	YDL208w	NHP2	coimmunoprecipitation	9843512	902.01.01.02.01.01
	SNR32	physical	YHR072w-a	NOP10	coimmunoprecipitation	9843512	902.01.01.02.01.01
	SNR32	physical	YHR089c	GAR1		 9182752	902.01.01.02.01
	SNR33	physical	YDL208w	NHP2	coimmunoprecipitation	9843512	902.01.01.02.01.01
	SNR33	physical	YHR072w-a	NOP10	coimmunoprecipitation	9843512	902.01.01.02.01.01
	SNR33	physical	YHR089c	GAR1		 9182752	902.01.01.02.01
	SNR34	physical	YDL208w	NHP2	coimmunoprecipitation	9843512	902.01.01.02.01.01
	SNR34	physical	YHR072w-a	NOP10	coimmunoprecipitation	9843512	902.01.01.02.01.01
	SNR34	physical	YHR089c	GAR1		 9182752	902.01.01.02.01
	SNR35	physical	YDL208w	NHP2	coimmunoprecipitation	9843512	902.01.01.02.01.01
	SNR35	physical	YHR072w-a	NOP10	coimmunoprecipitation	9843512	902.01.01.02.01.01
	SNR35	physical	YHR089c	GAR1		 9182752	902.01.01.02.01
	SNR36	physical	YDL208w	NHP2	coimmunoprecipitation	9843512	902.01.01.02.01.01
	SNR36	physical	YHR072w-a	NOP10	coimmunoprecipitation	9843512	902.01.01.02.01.01
	SNR36	physical	YHR089c	GAR1		 9182752	902.01.01.02.01
	SNR37	physical	YDL208w	NHP2	coimmunoprecipitation	9843512	902.01.01.02.01.01
	SNR37	physical	YHR072w-a	NOP10	coimmunoprecipitation	9843512	902.01.01.02.01.01
	SNR37	physical	YHR089c	GAR1		 9182752	902.01.01.02.01
	SNR38	physical	YDL014w	NOP1		 9182752	902.01.01.02.01
	SNR39	physical	YDL014w	NOP1		 9182752	902.01.01.02.01
	SNR4	physical	YDL014w	NOP1		 9182752	902.01.01.02.01
	SNR40	physical	YDL014w	NOP1		 9182752	902.01.01.02.01
	SNR41	physical	YDL014w	NOP1		 9182752	902.01.01.02.01
	SNR42	physical	YDL208w	NHP2	coimmunoprecipitation	9843512	902.01.01.02.01.01
	SNR42	physical	YHR072w-a	NOP10	coimmunoprecipitation	9843512	902.01.01.02.01.01
	SNR42	physical	YHR089c	GAR1		 9182752	902.01.01.02.01
	SNR43	physical	YDL208w	NHP2	coimmunoprecipitation	9843512	902.01.01.02.01.01
	SNR43	physical	YHR072w-a	NOP10	coimmunoprecipitation	9843512	902.01.01.02.01.01
	SNR43	physical	YHR089c	GAR1		 9182752	902.01.01.02.01
	SNR44	physical	YDL208w	NHP2	coimmunoprecipitation	9843512	902.01.01.02.01.01
	SNR44	physical	YHR072w-a	NOP10	coimmunoprecipitation	9843512	902.01.01.02.01.01
	SNR44	physical	YHR089c	GAR1		 9182752	902.01.01.02.01
	SNR45	physical	YDL014w	NOP1		 9182752	902.01.01.02.01
	SNR46	physical	YDL208w	NHP2	coimmunoprecipitation	9843512	902.01.01.02.01.01
	SNR46	physical	YHR072w-a	NOP10	coimmunoprecipitation	9843512	902.01.01.02.01.01
	SNR46	physical	YHR089c	GAR1		 9182752	902.01.01.02.01
	SNR47	physical	YDL014w	NOP1		 9182752	902.01.01.02.01
	SNR48	physical	YDL014w	NOP1		 9182752	902.01.01.02.01
